# AGH 过滤明细日志 - 2026-02-26 23:24:02
================================================================================
[白名单] @@||ui.ads.microsoft.com^                     # 父域覆盖: ads.microsoft.com
[黑名单] ||ctl.buyt.in^                                # 父域覆盖: buyt.in
[黑名单] ||cttest.branch.rocks^                        # 父域覆盖: branch.rocks
[黑名单] ||customers-lidl.kameleoon.com^               # 父域覆盖: kameleoon.com
[黑名单] ||d-collector.jennifersoft.com^               # 父域覆盖: jennifersoft.com
[黑名单] ||d.adtriba.com^                              # 父域覆盖: adtriba.com
[黑名单] ||d.otaserve.net^                             # 父域覆盖: otaserve.net
[黑名单] ||da.newstogram.com^                          # 父域覆盖: newstogram.com
[黑名单] ||dashboard.adcalls.nl^                       # 父域覆盖: adcalls.nl
[黑名单] ||dashboard.viewtraff.com^                    # 父域覆盖: viewtraff.com
[黑名单] ||dashboardnew.adcalls.nl^                    # 父域覆盖: adcalls.nl
[黑名单] ||data-failover.eroadvertising.com^           # 父域覆盖: eroadvertising.com
[黑名单] ||data.deep-content.io^                       # 父域覆盖: deep-content.io
[黑名单] ||data.eroadvertising.com^                    # 父域覆盖: eroadvertising.com
[黑名单] ||data.minute.ly^                             # 父域覆盖: minute.ly
[黑名单] ||data.mob.com^                               # 父域覆盖: mob.com
[黑名单] ||data.reactandshare.com^                     # 父域覆盖: reactandshare.com
[黑名单] ||data.thoughtmetric.io^                      # 父域覆盖: thoughtmetric.io
[黑名单] ||datacollect*.abtasty.com^                   # 父域覆盖: abtasty.com
[黑名单] ||dealabs.digidip.net^                        # 父域覆盖: digidip.net
[黑名单] ||deliver.vkcdnservice.com^                   # 父域覆盖: vkcdnservice.com
[黑名单] ||delivery.consentmanager.net^                # 父域覆盖: consentmanager.net
[黑名单] ||derstand.oewabox.at^                        # 父域覆盖: oewabox.at
[黑名单] ||dex50.deteql.net^                           # 父域覆盖: deteql.net
[黑名单] ||directoffers.go2cloud.org^                  # 父域覆盖: go2cloud.org
[黑名单] ||dispatcher.oewabox.at^                      # 父域覆盖: oewabox.at
[黑名单] ||display.nativeads.com^                      # 父域覆盖: nativeads.com
[黑名单] ||dlog.hiido.com^                             # 父域覆盖: hiido.com
[黑名单] ||dm.cnbanbao.com^                            # 父域覆盖: cnbanbao.com
[黑名单] ||dmp.adviad.com^                             # 父域覆盖: adviad.com
[黑名单] ||dmp.eland-tech.com^                         # 父域覆盖: eland-tech.com
[黑名单] ||dmp.sbermarketing.ru^                       # 父域覆盖: sbermarketing.ru
[黑名单] ||dns.0pengl.com^                             # 父域覆盖: 0pengl.com
[黑名单] ||docfind.oewabox.at^                         # 父域覆盖: oewabox.at
[黑名单] ||doodle.oewabox.at^                          # 父域覆盖: oewabox.at
[黑名单] ||drei.oewabox.at^                            # 父域覆盖: oewabox.at
[黑名单] ||dropkick.oewabox.at^                        # 父域覆盖: oewabox.at
[黑名单] ||dsp-east.nativeads.com^                     # 父域覆盖: nativeads.com
[黑名单] ||dsp-eu.nativeads.com^                       # 父域覆盖: nativeads.com
[黑名单] ||dsp-service.admatic.de^                     # 父域覆盖: admatic.de
